"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","606","TC-API-05 invoice without bearer token returns 401 or failed","Api Tests","2026-08-06","passed","2026-08-06","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","6007","TC-UI-06 eco-friendly filter shows products with eco badge","UI Tests","2026-08-06","passed","2026-08-06","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","4511","TC-API-02 products, add to cart, verify cart, COD verify invoice created successfully","Api Tests","2026-08-06","passed","2026-08-06","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","738","TC-API-04 login with wrong password fails","Api Tests","2026-08-06","passed","2026-08-06","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","845","TC-API-03 get products list is available","Api Tests","2026-08-06","passed","2026-08-06","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","2214","TC-API-01 register, login, create cart","Api Tests","2026-08-06","passed","2026-08-06","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","549","TC-API-06 get products by search query","Api Tests","2026-08-06","passed","2026-08-06","API — Toolshop Auth, Cart & Invoice","tests\api\api.spec.js","",""
"","30027","TC-UI-02 browse second product, add to cart and proceed to checkout and pay with COD","UI Tests","2026-08-06","passed","2026-08-06","Add to cart and proceed to checkout","tests\ui\homePageTest\addToCartAndPayment.spec.js","",""
"","11806","TC-UI-03 price range 1-100 and 100-200 validates product prices","UI Tests","2026-08-06","passed","2026-08-06","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","13375","TC-UI-01 register to the application @Smoke","UI Tests","2026-08-06","passed","2026-08-06","Register to the application","tests\ui\homePageTest\homePage.spec.js","",""
"","6278","TC-UI-05 filter by Hammer category shows hammers","UI Tests","2026-08-06","passed","2026-08-06","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
"","5541","TC-UI-04 search hammer shows hammer products","UI Tests","2026-08-06","passed","2026-08-06","Home page filters and search","tests\ui\homePageTest\homePage.spec.js","",""
